,Mouser #,Mfr. #,Manufacturer,Board #,Description,RoHS,Lifecycle,Order Qty.,Price (USD),Ext.: (USD)
1,630-HSMH-C170,HSMH-C170,Broadcom Limited,"LED1,2",Standard LEDs - SMD Red Diffused 639nm 17mcd,RoHS Compliant,,10,$0.208,$2.08
2,630-HSMG-C177,HSMG-C177,Broadcom Limited,LED3,Standard LEDs - SMD GaP Green,RoHS Compliant,,10,$0.20,$2.00
3,863-1SMB5919BT3G,1SMB5919BT3G,ON Semiconductor,D1,Zener Diodes 5.6V 3W,RoHS Compliant,,1,$0.42,$0.42
4,625-GF1G-E3,GF1G-E3/67A,Vishay,"D3,D4",Rectifiers 1.0 Amp 400 Volt,RoHS Compliant By Exemption,,2,$0.41,$0.82
5,511-L293D,L293D,STMicroelectronics,U2,Motor / Motion / Ignition Controllers & Drivers Push-Pull 4-Channel,RoHS Compliant,,1,$3.91,$3.91
6,926-LM2940T-5.0/NOPB,LM2940T-5.0/NOPB,Texas Instruments,U1,LDO Voltage Regulators 1A LDO REG,RoHS Compliant,,1,$1.56,$1.56
7,80-T491C106K035,T491C106K035AT,KEMET,C1,Tantalum Capacitors - Solid SMD 35V 10uF 2312 10% ESR=1.6ohms,RoHS Compliant,,1,$0.76,$0.76
8,77-VJ1210Y104MXAAT,VJ1210Y104MXAAT,Vishay,"C2,C3",Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50volts X7R 20%,RoHS Compliant,,2,$0.24,$0.48
9,80-T491A104M050AT,T491A104M050AT,KEMET,"C5,C7,C8",Tantalum Capacitors - Solid SMD 50V 0.1uF 1206 20% ESR=20Ohms,RoHS Compliant,,3,$0.46,$1.38
10,581-TPSA224K050R7000,TPSA224K050R7000,AVX,C6,Tantalum Capacitors - Solid SMD 50V 20% 2uF 1206 ESR = 7000mOhm,RoHS Compliant,,1,$0.66,$0.66
11,80-T491B476K006,T491B476K006AT,KEMET,C4,Tantalum Capacitors - Solid SMD 6.3V 47uF 1311 10% ESR=2ohms,RoHS Compliant,,1,$0.64,$0.64
12,511-STP62NS04Z,STP62NS04Z,STMicroelectronics,"M1,M2",MOSFET N-Ch Clamped 62 Amp,RoHS Compliant,,2,$1.53,$3.06
13,625-MSS1P3-M3,MSS1P3-M3/89A,Vishay,D2,Schottky Diodes & Rectifiers 1.0 Amp 30 Volt,RoHS Compliant By Exemption,,1,$0.35,$0.35
14,603-RT1206FRE07680RL,RT1206FRE07680RL,Yageo,"R11,R1,R8",Thin Film Resistors - SMD 680   OHM   1%  50PPM,RoHS Compliant By Exemption,,10,$0.098,$0.98
15,603-RC1206FR-071KL,RC1206FR-071KL,Yageo,"R2,R9,R5,R7",Thick Film Resistors - SMD 1K OHM 1%,RoHS Compliant By Exemption,,10,$0.054,$0.54
16,603-RC1206FR-07100KL,RC1206FR-07100KL,Yageo,"R3,R10",Thick Film Resistors - SMD 100K OHM 1%,RoHS Compliant By Exemption,,10,$0.054,$0.54
17,603-RC1206FR-073R9L,RC1206FR-073R9L,Yageo,R4,Thick Film Resistors - SMD 3.9 OHM 1%,RoHS Compliant By Exemption,,10,$0.092,$0.92
18,603-RC1206FR-07470RL,RC1206FR-07470RL,Yageo,R6,Thick Film Resistors - SMD 470 OHM 1%,RoHS Compliant By Exemption,,10,$0.054,$0.54
19,538-90142-0018,90142-0018,Molex,,Headers & Wire Housings 18CKT CRIMP HSG DR,RoHS Compliant,,2,$1.21,$2.42
20,538-90130-1118,90130-1118,Molex,,Headers & Wire Housings 2.54MM CGRIDIII HDR 18P V DR SHRD TIN,RoHS Compliant,,2,$2.01,$4.02
21,538-90119-2109,90119-2109,Molex,,Headers & Wire Housings 22-24 FEM CRIMP TERM,RoHS Compliant,,50,$0.048,$2.40
22,490-PPM-2-5521-S,PPM-2-5521-S,CUI Devices,,DC Power Connectors power plug 2.1x5.5x20.5mm,RoHS Compliant,New Product,2,$0.46,$0.92